feature,importance,rank,model
year,0.9181124859584995,1,DecisionTree
Renewable internal freshwater resources per capita (cubic meters),0.04348336624135308,2,DecisionTree
"Annual freshwater withdrawals, industry (% of total freshwater withdrawal)",0.0317499310895417,3,DecisionTree
"Annual freshwater withdrawals, total (% of internal resources)",0.006505126741100632,4,DecisionTree
"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)",0.0001490899695050803,5,DecisionTree
"Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)",0.0,6,DecisionTree
"Renewable internal freshwater resources, total (billion cubic meters)",0.0,7,DecisionTree
Renewable internal freshwater resources per capita (cubic meters),0.3501886453389751,1,RandomForest
"Annual freshwater withdrawals, industry (% of total freshwater withdrawal)",0.19844263091722092,2,RandomForest
year,0.19383460599724306,3,RandomForest
"Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)",0.16079780364443694,4,RandomForest
"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)",0.09321240557189046,5,RandomForest
"Annual freshwater withdrawals, total (% of internal resources)",0.0035239085302335472,6,RandomForest
"Renewable internal freshwater resources, total (billion cubic meters)",0.0,7,RandomForest
