Year,Agricultural land (% of land area),"Annual freshwater withdrawals, total (% of internal resources)",Arable land (% of land area),Average precipitation in depth (mm per year),Forest area (% of land area),Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Renewable internal freshwater resources per capita (cubic meters),"Renewable internal freshwater resources, total (billion cubic meters)"
1961,55.6642636457261,25.5065554231228,19.9536560247168,207.0,4.14506243563337,27.16908311,971.902180536101,4.195
1962,55.6513903192585,25.5065554231228,19.9536560247168,207.0,4.14506243563337,27.16908311,960.144065096623,4.195
1963,55.6385169927909,25.5065554231228,19.9536560247168,207.0,4.14506243563337,27.16908311,947.566268086488,4.195
1964,56.1663233779609,25.5065554231228,20.4685890834192,207.0,4.14506243563337,27.16908311,934.325700816661,4.195
1965,56.1534500514933,25.5065554231228,20.4685890834192,207.0,4.14506243563337,27.16908311,919.676808688589,4.195
1966,56.1405767250257,25.5065554231228,20.4685890834192,207.0,4.14506243563337,27.16908311,901.70705289678,4.195
1967,56.1277033985582,25.5065554231228,20.4685890834192,207.0,4.14506243563337,27.16908311,881.122964437919,4.195
1968,56.1148300720906,25.5065554231228,20.4685890834192,207.0,4.14506243563337,27.16908311,859.648939455509,4.195
1969,57.0803295571576,25.5065554231228,20.5072090628218,207.0,4.14506243563337,27.16908311,838.212583099436,4.195
1970,58.2711122554068,25.5065554231228,20.5522657054583,207.0,4.14506243563337,27.16908311,817.516324992263,4.195
1971,58.3032955715757,25.5065554231228,20.5973223480947,207.0,4.14506243563337,27.16908311,797.277208058753,4.195
1972,58.9340885684861,25.5065554231228,20.7904222451081,207.0,4.14506243563337,27.16908311,777.347482848787,4.195
1973,59.5005149330587,25.5065554231228,21.1766220391349,207.0,4.14506243563337,27.16908311,757.5973742885,4.195
1974,59.8094747682801,25.5065554231228,21.4984552008239,207.0,4.14506243563337,27.16908311,737.949089077052,4.195
1975,60.2471678681771,25.5065554231228,21.9490216271885,207.0,4.14506243563337,27.16908311,718.412703523151,4.195
1976,60.6848609680741,29.4636471990465,22.399588053553,207.0,4.14506243563337,31.38409974,699.517124746165,4.195
1977,60.9745108135942,33.4207389749702,22.7021112255407,207.0,4.14506243563337,35.59911637,681.456631011621,4.195
1978,60.2278578784758,37.3778307508939,21.9683316168898,207.0,4.14506243563337,39.814133,664.882025045211,4.195
1979,59.8159114315139,41.3349225268176,21.9232749742533,207.0,4.14506243563337,44.02914963,649.740978706617,4.195
1980,58.322605561277,45.2920143027414,20.5393923789907,207.0,4.14506243563337,48.24416626,635.010017112725,4.195
1981,58.7538619979403,47.1990464839094,20.4042224510814,207.0,4.14506243563337,50.27549958,620.719697485338,4.195
1982,59.3202883625129,49.1060786650775,20.3398558187436,207.0,4.14506243563337,52.3068329,607.210505335202,4.195
1983,59.9961380020597,51.0131108462455,20.211122554068,207.0,4.14506243563337,54.33816621,594.714905441039,4.195
1984,60.1313079299691,52.9201430274136,20.0823892893924,207.0,4.14506243563337,56.36949953,581.021389897347,4.195
1985,59.783728115345,54.8271752085816,19.7605561277034,207.0,4.14506243563337,58.40083285,566.134266534933,4.195
1986,59.1786817713697,58.5220500595948,19.5030895983522,207.0,4.14506243563337,62.33654115,551.951824013286,4.195
1987,59.2559217301751,62.2169249106079,19.1812564366632,207.0,4.14506243563337,66.27224945,538.511810096731,4.195
1988,59.024201853759,65.911799761621,18.8980432543769,207.0,4.14506243563337,70.20795775,526.055748115228,4.195
1989,59.3395983522142,69.6066746126341,18.7306900102987,207.0,4.14506243563337,74.14366605,514.619108255251,4.195
1990,59.1593717816684,73.1108462455304,18.7242533470649,207.0,4.14506243563337,77.87624102,503.933625394603,4.195
1991,59.2816683831102,72.0715137067938,18.7178166838311,207.0,4.16042868177137,76.76916436,493.423354768334,4.195
1992,60.2149845520082,71.0321811680572,18.7178166838311,207.0,4.17579492790937,75.6620877,483.155105342786,4.195
1993,60.6462409886715,69.9928486293206,19.2263130792997,207.0,4.19116117404737,74.55501105,473.588013425289,4.195
1994,59.7515447991761,68.953516090584,18.2157569515963,207.0,4.20652742018538,73.44793439,465.157641314781,4.195
1995,60.1699279093718,67.9141835518474,18.2929969104016,207.0,4.2218943099897,72.34085773,457.906545149149,4.195
1996,60.0154479917611,66.8557806912992,18.312306900103,207.0,4.2372605561277,71.21346774,451.345493732161,4.195
1997,60.163491246138,65.7973778307509,18.312306900103,207.0,4.2526268022657,70.08607775,445.269056082673,4.195
1998,60.6333676622039,64.7389749702026,18.5311534500515,207.0,4.26799304840371,68.95868776,439.65063966286,4.195
1999,61.3156539649845,63.6805721096544,18.7242533470649,207.0,4.28335929454171,67.83129777,434.44656944108,4.195
2000,61.476570545829,61.9785458879619,18.4346035015448,207.0,4.29872554067971,66.01833278,429.598353701279,4.195
2001,61.1418640576725,66.9606674612634,17.8553038105046,207.0,4.31132852729145,71.32519107,425.039238872762,4.195
2002,62.8411431513903,67.3182359952324,17.8359938208033,207.0,4.32393151390319,71.70606607,420.698359276399,4.195
2003,62.9763130792997,67.6758045292014,17.9582904222451,207.0,4.33653450051493,72.08694107,416.516409654364,4.195
2004,63.2723995880536,68.0333730631704,17.9647270854789,207.0,4.34913748712667,72.46781606,412.643393579269,4.195
2005,63.2337796086509,68.3909415971395,17.5720906282183,207.0,4.36174047373841,72.84869106,409.049919886671,4.195
2006,63.1179196704428,68.7485101311084,17.7845005149331,207.0,4.37434346035015,73.22956606,405.454645621042,4.195
2007,63.1114830072091,69.1060786650775,17.5914006179197,207.0,4.3869464469619,73.61044105,401.754426625085,4.195
2008,63.6006694129763,69.4636471990465,18.2479402677652,207.0,4.39954943357364,73.99131605,397.908113104551,4.195
2009,63.0084963954686,71.8712753277712,17.4240473738414,207.0,4.41215242018538,76.55587436,393.871528027175,4.195
2010,64.6112255406797,74.2789034564958,18.1707003089598,207.0,4.42475540679712,79.12043267,389.653333927798,4.195
2011,64.8300720906282,76.6865315852205,18.2736869207003,207.0,4.4346035015448,81.68499099,385.356100729053,4.195
2012,63.8645726055613,79.1132300357568,18.3316168898043,207.0,4.44445159629248,84.26986263,381.029473515363,4.195
2013,63.9997425334707,81.5399284862932,18.3638002059732,207.0,4.45429969104016,86.85473428,376.524914685019,4.195
2014,62.8282698249228,83.9666269368296,16.6580844490216,207.0,4.46414778578785,89.43960592,372.085580925376,4.195
2015,63.2981462409887,86.3933253873659,16.5422245108136,207.0,4.47399588053553,92.02447757,367.909390626283,4.195
2016,62.45236869207,88.8200238379023,16.5010298661174,207.0,4.48384397528321,94.60934921,363.875325124121,4.195
2017,62.7117662203914,84.0524433849821,16.7797373841401,207.0,4.4936920700309,89.53101592,360.07044505737,4.195
2018,62.4388516992791,90.1244338498212,16.5396498455201,207.0,4.50354016477858,95.9987812,356.550508545568,4.195
2019,62.4388516992791,90.4171632896305,16.5396498455201,207.0,4.51338825952626,96.31059086,353.26074828458,4.195
2020,62.4388516992791,92.1096543504172,18.2241246138002,207.0,4.52323635427395,98.11339918,350.340740819924,4.195
2021,62.4388516992791,92.1096543504172,18.2241246138002,207.0,4.53308444902163,98.11339918,348.172596003095,4.195
2022,62.4388516992791,92.1096543504172,18.2241246138002,207.0,4.54293254376931,98.11339918,346.141132837828,4.195
2023,62.4388516992791,92.1096543504172,18.2241246138002,207.0,4.55278063851699,98.11339918,346.141132837828,4.195
